timestamp_or_frame,x,y
0,1019,216
1,1002,226
2,1062,204
3,1063,204
4,1045,211
5,1073,203
6,1088,197
7,1063,207
8,1063,206
9,1078,200
10,1053,210
11,1048,211
12,1031,216
13,1019,220
14,1007,224
15,992,229
16,977,234
17,974,234
18,964,238
19,957,241
20,964,238
21,961,239
22,977,233
23,982,231
24,953,242
25,879,270
26,783,307
27,663,353
28,569,389
29,495,418
30,443,438
31,406,452
32,410,450
33,391,458
34,366,468
35,374,465
36,426,444
37,439,439
38,498,417
39,582,384
40,693,341
41,795,303
42,856,280
43,937,251
44,990,232
45,966,242
46,930,256
47,952,249
48,972,245
49,1026,219
50,1083,201
51,1120,195
52,1106,162
53,1073,181
54,1020,214
55,800,173
56,776,165
57,775,192
58,793,189
59,818,188
60,958,255
61,945,271
62,951,281
63,908,286
64,855,292
65,906,276
66,918,272
67,922,270
68,926,269
69,936,267
70,910,275
71,893,281
72,879,285
73,840,297
74,787,313
75,731,332
76,692,344
77,677,348
78,692,343
79,706,338
80,773,315
81,789,310
82,773,315
83,737,328
84,764,318
85,746,324
86,787,310
87,838,293
88,914,268
89,923,266
90,949,259
91,971,253
92,964,258
93,948,269
94,920,284
95,828,311
96,673,354
97,521,400
98,395,435
99,277,470
100,183,507
101,149,529
102,121,545
103,62,571
104,26,594
105,23,601
106,4,614
107,0,622
108,0,626
109,0,624
110,0,627
111,0,626
112,19,613
113,54,597
114,109,572
115,193,533
116,287,495
117,377,461
118,485,420
119,622,369
120,742,325
121,868,279
122,959,246
123,1003,233
124,1022,236
125,1056,231
126,1054,244
127,1040,228
128,887,174
129,831,133
130,728,162
131,660,171
132,606,212
133,722,273
134,723,318
135,744,297
136,747,286
137,771,250
138,791,226
139,775,206
140,785,195
141,800,170
142,900,278
143,888,281
144,857,255
145,851,261
146,821,274
